id;label;dateTimeLocal;dateTimeUTC
58;GIPPSLAND_TRACK1_447_P1_201903011212_MGA94_55;1/3/2019 12:12;1/3/2019 01:12
59;MACALISTER_612_P1_201903051406_MGA94_55;5/3/2019 14:06;5/3/2019 03:06
60;MACALISTER_613_P1_201903051418_MGA94_55;5/3/2019 14:18;5/3/2019 03:18
61;MACALISTER_695_P1_201903091542_MGA94_55;9/3/2019 15:42;9/3/2019 04:42
62;MACALISTER_696_P1_201903091545_MGA94_55;9/3/2019 15:45;9/3/2019 04:45
63;MACALISTER_697_P1_201903091555_MGA94_55;9/3/2019 15:55;9/3/2019 04:55
64;MACALISTER_698_P1_201903091600_MGA94_55;9/3/2019 16:00;9/3/2019 05:00
65;MACALISTER_699_P1_201903091610_MGA94_55;9/3/2019 16:10;9/3/2019 05:10
66;MACALISTER_700_P1_201903091613_MGA94_55;9/3/2019 16:13;9/3/2019 05:13
67;YARRA51_620_P1_201903051812_MGA94_55;5/3/2019 18:12;5/3/2019 07:12
68;YARRA51_622_P1_201903051841_MGA94_55;5/3/2019 18:41;5/3/2019 07:41
69;MACALISTER85_624_P1_201903051907_MGA94_55;5/3/2019 19:07;5/3/2019 08:07
70;YARRA51_633_P1_201903061644_MGA94_55;6/3/2019 16:44;6/3/2019 05:44
71;MACALISTER85_684_P1_201903080536_MGA94_55;8/3/2019 05:36;7/3/2019 18:36
72;MACALISTER85_723_P1_201903100101_MGA94_55;10/3/2019 01:01;9/3/2019 14:01
73;MACALISTER87_719_P1_201903100033_MGA94_55;10/3/2019 00:33;9/3/2019 13:33
74;MACALISTER89_678_P1_201903080454_MGA94_55;8/3/2019 04:54;7/3/2019 17:54
75;MACALISTER89_693_P1_201903091518_MGA94_55;9/3/2019 15:18;9/3/2019 04:18
76;MACALISTER89_716_P1_201903100003_MGA94_55;10/3/2019 00:03;9/3/2019 13:03
77;MACALISTER89_763_P1_201903131205_MGA94_55;13/3/2019 12:05;13/3/2019 01:05
78;MACALISTER89_773_P1_201903141329_MGA94_55;14/3/2019 13:29;14/3/2019 02:29
79;MACALISTER89_782_P1_201903141444_MGA94_55;14/3/2019 14:44;14/3/2019 03:44
80;MACALISTER89_786_P1_201903151302_MGA94_55;15/3/2019 13:02;15/3/2019 02:02
81;MACALISTER89_801_P1_201903161430_MGA94_55;16/3/2019 14:30;16/3/2019 03:30
82;MACALISTER91_615_P1_201903051438_MGA94_55;5/3/2019 14:38;5/3/2019 03:38
83;MACALISTER91_616_P1_201903051446_MGA94_55;5/3/2019 14:46;5/3/2019 03:46
84;MACALISTER91_617_P1_201903051456_MGA94_55;5/3/2019 14:56;5/3/2019 03:56
85;MACALISTER91_618_P1_201903051503_MGA94_55;5/3/2019 15:03;5/3/2019 04:03
86;MACALISTER91_621_P1_201903051827_MGA94_55;5/3/2019 18:27;5/3/2019 07:27
87;YARRA51_704_P1_201903091659_MGA94_55;9/3/2019 16:59;9/3/2019 05:59
88;MACALISTER91_681_P1_201903080517_MGA94_55;8/3/2019 05:17;7/3/2019 18:17
89;MACALISTER91_682_P1_201903080526_MGA94_55;8/3/2019 05:26;7/3/2019 18:26
90;MACALISTER91_685_P1_201903080539_MGA94_55;8/3/2019 05:39;7/3/2019 18:39
91;MACALISTER91_752_P1_201903111601_MGA94_55;11/3/2019 16:01;11/3/2019 05:01
92;MACALISTER91_755_P1_201903111619_MGA94_55;11/3/2019 16:19;11/3/2019 05:19
93;MACALISTER91_760_P1_201903111709_MGA94_55;11/3/2019 17:09;11/3/2019 06:09
94;YARRA51_726_P1_201903100129_MGA94_55;10/3/2019 01:29;9/3/2019 14:29
95;MACALISTER91_761_P1_201903111720_MGA94_55;11/3/2019 17:20;11/3/2019 06:20
96;MACALISTER91_762_P1_201903111730_MGA94_55;11/3/2019 17:30;11/3/2019 06:30
97;MACALISTER91_766_P1_201903131239_MGA94_55;13/3/2019 12:39;13/3/2019 01:39
98;MACALISTER91_767_P1_201903131252_MGA94_55;13/3/2019 12:52;13/3/2019 01:52
99;MACALISTER91_770_P1_201903131314_MGA94_55;13/3/2019 13:14;13/3/2019 02:14
100;MACALISTER91_783_P1_201903141643_MGA94_55;14/3/2019 16:43;14/3/2019 05:43
101;MACALISTER91_789_P1_201903151330_MGA94_55;15/3/2019 13:30;15/3/2019 02:30
102;MACALISTER91_790_P1_201903151340_MGA94_55;15/3/2019 13:40;15/3/2019 02:40
103;MACALISTER91_793_P1_201903151358_MGA94_55;15/3/2019 13:58;15/3/2019 02:58
104;MACALISTER91_804_P1_201903161503_MGA94_55;16/3/2019 15:03;16/3/2019 04:03
105;MACALISTER91_805_P1_201903161517_MGA94_55;16/3/2019 15:17;16/3/2019 04:17
106;MACALISTER91_808_P1_201903161539_MGA94_55;16/3/2019 15:39;16/3/2019 04:39
107;MACALISTER91_99_649_P1_201903070453_MGA94_55;7/3/2019 04:53;6/3/2019 17:53
108;MACALISTER97_680_P1_201903080512_MGA94_55;8/3/2019 05:12;7/3/2019 18:12
109;MACALISTER97_720_P1_201903100042_MGA94_55;10/3/2019 00:42;9/3/2019 13:42
110;MACALISTER97_753_P1_201903111605_MGA94_55;11/3/2019 16:05;11/3/2019 05:05
111;MACALISTER97_765_P1_201903131230_MGA94_55;13/3/2019 12:30;13/3/2019 01:30
112;MACALISTER97_768_P1_201903131255_MGA94_55;13/3/2019 12:55;13/3/2019 01:55
113;YARRA51_794_P1_201903151412_MGA94_55;15/3/2019 14:12;15/3/2019 03:12
114;YARRA54_795_P1_201903151422_MGA94_55;15/3/2019 14:22;15/3/2019 03:22
115;MACALISTER97_769_P1_201903131306_MGA94_55;13/3/2019 13:06;13/3/2019 02:06
116;MACALISTER97_774_P1_201903141339_MGA94_55;14/3/2019 13:39;14/3/2019 02:39
117;MACALISTER97_777_P1_201903141358_MGA94_55;14/3/2019 13:58;14/3/2019 02:58
118;MACALISTER97_778_P1_201903141405_MGA94_55;14/3/2019 14:05;14/3/2019 03:05
119;MACALISTER97_788_P1_201903151324_MGA94_55;15/3/2019 13:24;15/3/2019 02:24
120;MACALISTER97_791_P1_201903151343_MGA94_55;15/3/2019 13:43;15/3/2019 02:43
121;MACALISTER97_792_P1_201903151352_MGA94_55;15/3/2019 13:52;15/3/2019 02:52
122;MACALISTER97_803_P1_201903161455_MGA94_55;16/3/2019 14:55;16/3/2019 03:55
123;YARRA51_809_P1_201903161558_MGA94_55;16/3/2019 15:58;16/3/2019 04:58
124;MACALISTER97_806_P1_201903161522_MGA94_55;16/3/2019 15:22;16/3/2019 04:22
125;MACALISTER97_807_P1_201903161532_MGA94_55;16/3/2019 15:32;16/3/2019 04:32
126;MACALISTER99_623_P1_201903051858_MGA94_55;5/3/2019 18:58;5/3/2019 07:58
127;MACALISTER99_646_P1_201903070440_MGA94_55;7/3/2019 04:40;6/3/2019 17:40
128;MACALISTER99_683_P1_201903080529_MGA94_55;8/3/2019 05:29;7/3/2019 18:29
